"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","R","G","B","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","28.23","0.282","0.282","73.4","58.4","40.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","28.73","0.287","0.287","72.0","58.3","40.9","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","29.23","0.292","0.292","71.2","58.3","40.9","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","29.73","0.297","0.297","69.8","56.7","39.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","30.23","0.302","0.302","74.0","60.7","43.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","30.73","0.307","0.307","66.6","53.8","37.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","31.23","0.312","0.312","66.7","53.9","37.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","31.73","0.317","0.317","66.2","53.2","36.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","32.23","0.322","0.322","72.1","58.2","40.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","32.73","0.327","0.327","68.4","55.1","38.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","33.23","0.332","0.332","73.0","59.3","41.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","33.73","0.337","0.337","72.2","58.8","41.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","34.23","0.342","0.342","65.9","53.9","38.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","34.73","0.347","0.347","63.2","51.8","36.9","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
