"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","Reflectance L*","Reflectance a*","Reflectance b*","Tristimulus X","Tristimulus Y","Tristimulus Z","Normalized spectral data link","Unnormalized spectral data link","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","58.2","0.582","0.582","41.97","3.41","10.43","12.32","12.48","9.63","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","58.4","0.584","0.584","41.44","3.55","9.9","12.02","12.14","9.51","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","58.6","0.586","0.586","41.42","3.56","9.22","12","12.13","9.71","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","58.8","0.588","0.588","41.69","3.63","9.46","12.18","12.3","9.78","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","59.0","0.590","0.590","41.85","3.77","9.56","12.3","12.4","9.85","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","59.2","0.592","0.592","41.68","3.67","9.72","12.18","12.29","9.7","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","59.4","0.594","0.594","41.52","3.63","9.82","12.08","12.19","9.57","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","59.6","0.596","0.596","41.27","3.54","9.55","11.91","12.03","9.52","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","59.8","0.598","0.598","40.56","3.13","9.47","11.42","11.59","9.16","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","60.0","0.600","0.600","39.19","2.85","8.97","10.59","10.77","8.59","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","60.2","0.602","0.602","39.37","2.82","8.86","10.69","10.88","8.72","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","60.4","0.604","0.604","38.94","2.53","8.56","10.4","10.62","8.59","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","60.6","0.606","0.606","38.25","2.37","8.37","10","10.23","8.29","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","60.8","0.608","0.608","38.53","2.62","8.76","10.19","10.39","8.32","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","61.0","0.610","0.610","39.27","2.58","9.03","10.6","10.82","8.62","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","61.2","0.612","0.612","39.58","2.69","8.27","10.78","11","9.01","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","61.4","0.614","0.614","39.91","2.62","7.26","10.97","11.19","9.51","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","61.6","0.616","0.616","39.21","2.52","7.86","10.55","10.78","8.94","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","61.8","0.618","0.618","38.41","2.49","7.89","10.1","10.32","8.51","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","62.0","0.620","0.620","38.1","2.58","7.9","9.94","10.14","8.35","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","62.2","0.622","0.622","39.3","2.93","8.21","10.66","10.84","8.88","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","62.4","0.624","0.624","39.34","3.04","7.78","10.7","10.86","9.03","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","62.6","0.626","0.626","39.56","3.02","7.56","10.82","10.99","9.22","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","62.8","0.628","0.628","39.42","2.85","7.26","10.72","10.91","9.24","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","63.0","0.630","0.630","39.06","2.69","7.1","10.49","10.69","9.1","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","63.2","0.632","0.632","39.6","2.8","7.14","10.81","11.01","9.37","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","63.4","0.634","0.634","40.16","2.97","7.49","11.16","11.35","9.57","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","63.6","0.636","0.636","40.64","3.02","7.54","11.46","11.64","9.82","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","63.8","0.638","0.638","40.67","3.14","7.81","11.49","11.66","9.75","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","64.0","0.640","0.640","41.31","3.12","7.54","11.87","12.06","10.2","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
